bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps,rep
lat_send_recv,verbs,64,64,1000,1.746,1.803,2.491,6.280,,1
lat_rdma_write,verbs,64,64,1000,1.599,1.646,1.744,7.477,,1
perftest_ib_send_lat,verbs,64,64,1000,0.83,0.86,0.89,8.29,,1
perftest_ib_write_lat,verbs,64,64,1000,0.78,0.80,0.82,8.38,,1
lat_send_recv,verbs,64,64,1000,1.688,1.755,2.441,7.903,,2
lat_rdma_write,verbs,64,64,1000,1.577,1.622,1.722,17.339,,2
perftest_ib_send_lat,verbs,64,64,1000,0.84,0.87,1.07,4.60,,2
perftest_ib_write_lat,verbs,64,64,1000,0.77,0.79,0.81,8.46,,2
lat_send_recv,verbs,64,64,1000,1.697,1.756,2.420,6.190,,3
lat_rdma_write,verbs,64,64,1000,1.600,1.627,1.725,6.386,,3
perftest_ib_send_lat,verbs,64,64,1000,0.84,0.86,0.88,8.23,,3
perftest_ib_write_lat,verbs,64,64,1000,0.77,0.79,0.81,0.83,,3
lat_send_recv,verbs,64,64,1000,1.701,1.760,2.438,4.996,,4
lat_rdma_write,verbs,64,64,1000,1.581,1.618,1.719,5.092,,4
perftest_ib_send_lat,verbs,64,64,1000,0.84,0.87,0.88,0.97,,4
perftest_ib_write_lat,verbs,64,64,1000,0.78,0.79,0.81,0.82,,4
lat_send_recv,verbs,64,64,1000,1.693,1.754,2.437,16.084,,5
lat_rdma_write,verbs,64,64,1000,1.571,1.615,1.722,5.160,,5
perftest_ib_send_lat,verbs,64,64,1000,0.84,0.86,0.88,8.39,,5
perftest_ib_write_lat,verbs,64,64,1000,0.77,0.79,0.81,0.82,,5
lat_send_recv,verbs,256,64,1000,2.339,2.400,3.070,7.409,,1
lat_rdma_write,verbs,256,64,1000,2.297,2.343,2.429,8.642,,1
perftest_ib_send_lat,verbs,256,64,1000,1.20,1.25,1.39,5.07,,1
perftest_ib_write_lat,verbs,256,64,1000,1.20,1.22,1.34,8.36,,1
lat_send_recv,verbs,256,64,1000,2.329,2.397,3.070,6.357,,2
lat_rdma_write,verbs,256,64,1000,2.318,2.351,2.434,8.183,,2
perftest_ib_send_lat,verbs,256,64,1000,1.21,1.25,1.38,5.41,,2
perftest_ib_write_lat,verbs,256,64,1000,1.20,1.21,1.34,4.12,,2
lat_send_recv,verbs,256,64,1000,2.337,2.403,3.071,5.755,,3
lat_rdma_write,verbs,256,64,1000,2.312,2.357,2.456,17.707,,3
perftest_ib_send_lat,verbs,256,64,1000,1.20,1.24,1.36,9.33,,3
perftest_ib_write_lat,verbs,256,64,1000,1.19,1.21,1.33,1.87,,3
lat_send_recv,verbs,256,64,1000,2.345,2.399,3.072,7.184,,4
lat_rdma_write,verbs,256,64,1000,2.290,2.347,2.428,17.829,,4
perftest_ib_send_lat,verbs,256,64,1000,1.15,1.20,1.22,1.29,,4
perftest_ib_write_lat,verbs,256,64,1000,1.19,1.21,1.34,3.54,,4
lat_send_recv,verbs,256,64,1000,2.347,2.414,3.106,6.519,,5
lat_rdma_write,verbs,256,64,1000,2.317,2.355,2.417,6.089,,5
perftest_ib_send_lat,verbs,256,64,1000,1.21,1.24,1.36,1.38,,5
perftest_ib_write_lat,verbs,256,64,1000,1.19,1.20,1.33,8.31,,5
lat_send_recv,verbs,1024,64,1000,2.699,2.762,3.433,17.020,,1
lat_rdma_write,verbs,1024,64,1000,2.678,2.727,2.818,7.383,,1
perftest_ib_send_lat,verbs,1024,64,1000,1.39,1.43,1.56,1.62,,1
perftest_ib_write_lat,verbs,1024,64,1000,1.39,1.41,1.50,1.51,,1
lat_send_recv,verbs,1024,64,1000,2.686,2.756,3.420,17.338,,2
lat_rdma_write,verbs,1024,64,1000,2.701,2.746,2.827,6.466,,2
perftest_ib_send_lat,verbs,1024,64,1000,1.39,1.43,1.58,9.33,,2
perftest_ib_write_lat,verbs,1024,64,1000,1.38,1.40,1.55,1.57,,2
lat_send_recv,verbs,1024,64,1000,2.695,2.760,3.433,16.919,,3
lat_rdma_write,verbs,1024,64,1000,2.677,2.726,2.842,18.284,,3
perftest_ib_send_lat,verbs,1024,64,1000,1.39,1.43,1.55,1.60,,3
perftest_ib_write_lat,verbs,1024,64,1000,1.39,1.41,1.51,8.61,,3
lat_send_recv,verbs,1024,64,1000,2.695,2.759,3.434,18.803,,4
lat_rdma_write,verbs,1024,64,1000,2.677,2.722,2.798,7.459,,4
perftest_ib_send_lat,verbs,1024,64,1000,1.38,1.43,1.56,9.21,,4
perftest_ib_write_lat,verbs,1024,64,1000,1.37,1.41,1.51,8.67,,4
lat_send_recv,verbs,1024,64,1000,2.700,2.763,3.425,6.469,,5
lat_rdma_write,verbs,1024,64,1000,2.680,2.731,2.811,15.357,,5
perftest_ib_send_lat,verbs,1024,64,1000,1.40,1.43,1.56,9.46,,5
perftest_ib_write_lat,verbs,1024,64,1000,1.35,1.38,1.48,8.44,,5
lat_send_recv,verbs,4096,64,1000,3.481,3.548,5.481,18.681,,1
lat_rdma_write,verbs,4096,64,1000,3.440,3.505,3.632,19.705,,1
perftest_ib_send_lat,verbs,4096,64,1000,1.78,1.82,1.98,9.90,,1
perftest_ib_write_lat,verbs,4096,64,1000,1.76,1.80,1.93,9.05,,1
lat_send_recv,verbs,4096,64,1000,3.457,3.542,5.479,10.561,,2
lat_rdma_write,verbs,4096,64,1000,3.449,3.521,3.602,7.844,,2
perftest_ib_send_lat,verbs,4096,64,1000,1.80,1.84,2.05,9.01,,2
perftest_ib_write_lat,verbs,4096,64,1000,1.76,1.80,1.90,8.75,,2
lat_send_recv,verbs,4096,64,1000,3.454,3.547,5.501,17.840,,3
lat_rdma_write,verbs,4096,64,1000,3.456,3.518,3.611,7.852,,3
