bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps
sendrecv,rdma,64,8,20000,1.86,2.02,3.42,19.74,
write_ack,rdma,64,1,20000,1.15,1.21,1.25,17.57,
sendrecv,rdma,256,8,20000,2.36,2.43,3.73,40.45,
write_ack,rdma,256,1,20000,1.41,1.47,1.51,25.83,
sendrecv,rdma,1024,8,20000,2.70,2.80,4.08,32.27,
write_ack,rdma,1024,1,20000,1.59,1.66,1.88,24.11,
sendrecv,rdma,4096,8,20000,3.49,3.58,7.24,55.99,
write_ack,rdma,4096,1,20000,1.98,2.06,2.11,32.61,
sendrecv,rdma,16384,8,20000,5.63,5.72,9.43,45.21,
write_ack,rdma,16384,1,20000,3.07,3.16,3.73,16.81,
sendrecv,rdma,65536,8,5000,16.68,17.42,20.91,38.80,
write_ack,rdma,65536,1,5000,8.57,8.68,9.31,28.00,
sendrecv,rdma,262144,8,5000,52.77,52.97,58.88,93.29,
write_ack,rdma,262144,1,5000,26.66,26.74,27.37,43.81,
sendrecv,rdma,1048576,8,5000,188.71,189.27,194.00,206.23,
write_ack,rdma,1048576,1,5000,94.53,94.92,100.61,107.15,
sendrecv,tcp,64,,20000,8.60,8.94,9.69,29.99,
sendrecv,tcp,256,,20000,8.80,9.22,12.08,72.71,
sendrecv,tcp,1024,,20000,9.73,10.24,10.95,27.26,
sendrecv,tcp,4096,,20000,13.06,14.52,16.30,28.49,
sendrecv,tcp,16384,,20000,20.96,23.04,28.44,82.42,
sendrecv,tcp,65536,,5000,56.94,62.43,71.39,96.89,
sendrecv,tcp,262144,,5000,157.82,165.11,195.19,249.04,
sendrecv,tcp,1048576,,5000,432.02,445.00,574.75,1168.79,
sendrecv,tcp_untuned,64,,20000,14.81,15.38,16.06,46.05,
sendrecv,tcp_untuned,256,,20000,15.18,15.81,18.29,479.51,
sendrecv,tcp_untuned,1024,,20000,14.45,15.15,20.27,677.17,
sendrecv,tcp_untuned,4096,,20000,17.38,45.21,49.68,565.46,
sendrecv,tcp_untuned,16384,,20000,25.63,42.91,66.85,1710.78,
sendrecv,tcp_untuned,65536,,5000,64.42,84.98,118.98,183.55,
sendrecv,tcp_untuned,262144,,5000,139.86,180.19,197.47,2139.03,
sendrecv,tcp_untuned,1048576,,5000,444.11,533.62,669.01,904.24,
sendrecv,rdma,64,8,20000,1.71,1.79,3.09,20.33,
write_ack,rdma,64,1,20000,1.09,1.16,1.18,7.77,
sendrecv,rdma,256,8,20000,2.34,2.43,3.73,27.02,
write_ack,rdma,256,1,20000,1.41,1.47,1.51,25.11,
sendrecv,rdma,1024,8,20000,2.70,2.79,4.09,39.77,
write_ack,rdma,1024,1,20000,1.60,1.65,1.69,24.79,
sendrecv,rdma,4096,8,20000,3.47,3.58,7.24,41.30,
write_ack,rdma,4096,1,20000,1.99,2.07,2.26,25.91,
sendrecv,rdma,16384,8,20000,5.64,5.72,9.45,40.46,
write_ack,rdma,16384,1,20000,3.06,3.11,3.63,18.93,
sendrecv,rdma,65536,8,5000,16.70,17.39,23.64,50.35,
write_ack,rdma,65536,1,5000,8.53,8.67,9.29,39.37,
sendrecv,rdma,262144,8,5000,52.81,52.97,59.24,93.07,
write_ack,rdma,262144,1,5000,26.65,26.92,27.54,41.53,
sendrecv,rdma,1048576,8,5000,188.73,189.25,194.99,210.68,
write_ack,rdma,1048576,1,5000,94.50,94.87,100.34,107.70,
sendrecv,tcp,64,,20000,9.11,9.40,10.05,71.26,
sendrecv,tcp,256,,20000,9.26,9.63,10.57,32.67,
sendrecv,tcp,1024,,20000,9.00,9.52,11.43,28.46,
sendrecv,tcp,4096,,20000,13.34,14.20,17.07,55.03,
sendrecv,tcp,16384,,20000,22.06,24.39,28.87,48.32,
sendrecv,tcp,65536,,5000,60.01,68.77,75.66,124.86,
sendrecv,tcp,262144,,5000,135.88,143.37,159.34,201.94,
sendrecv,tcp,1048576,,5000,421.70,440.01,524.33,3341.90,
sendrecv,tcp_untuned,64,,20000,14.30,14.76,19.36,44.15,
sendrecv,tcp_untuned,256,,20000,14.80,15.36,16.25,40.52,
sendrecv,tcp_untuned,1024,,20000,14.47,15.10,18.92,51.93,
sendrecv,tcp_untuned,4096,,20000,17.94,38.49,47.91,5900.83,
sendrecv,tcp_untuned,16384,,20000,27.28,29.01,34.67,140.41,
sendrecv,tcp_untuned,65536,,5000,61.54,76.17,134.91,374.16,
sendrecv,tcp_untuned,262144,,5000,158.05,181.31,201.76,360.99,
sendrecv,tcp_untuned,1048576,,5000,445.73,534.64,676.08,3105.09,
sendrecv,rdma,64,8,20000,1.72,1.79,3.08,25.39,
write_ack,rdma,64,1,20000,1.10,1.16,1.19,23.11,
sendrecv,rdma,256,8,20000,2.32,2.43,3.71,58.33,
write_ack,rdma,256,1,20000,1.40,1.52,1.68,26.92,
sendrecv,rdma,1024,8,20000,2.70,2.79,4.09,37.59,
write_ack,rdma,1024,1,20000,1.58,1.63,1.68,24.40,
sendrecv,rdma,4096,8,20000,3.48,3.58,7.25,29.95,
write_ack,rdma,4096,1,20000,1.99,2.07,2.12,31.20,
sendrecv,rdma,16384,8,20000,5.61,5.72,9.43,45.80,
write_ack,rdma,16384,1,20000,3.06,3.17,3.75,20.87,
sendrecv,rdma,65536,8,5000,16.75,16.94,24.83,60.32,
write_ack,rdma,65536,1,5000,8.54,8.66,9.28,31.64,
sendrecv,rdma,262144,8,5000,52.77,52.98,57.05,92.70,
write_ack,rdma,262144,1,5000,26.65,26.83,27.46,41.01,
sendrecv,rdma,1048576,8,5000,188.66,189.24,193.57,213.32,
write_ack,rdma,1048576,1,5000,94.52,94.91,98.96,109.46,
sendrecv,tcp,64,,20000,8.55,8.89,9.80,64.05,
sendrecv,tcp,256,,20000,8.79,9.15,11.53,39.99,
sendrecv,tcp,1024,,20000,9.01,9.52,11.45,49.09,
sendrecv,tcp,4096,,20000,13.78,15.52,16.82,48.62,
sendrecv,tcp,16384,,20000,21.13,22.30,23.81,36.94,
sendrecv,tcp,65536,,5000,57.07,64.36,68.67,118.72,
sendrecv,tcp,262144,,5000,154.17,159.55,198.81,2133.35,
sendrecv,tcp,1048576,,5000,428.13,444.63,596.21,997.64,
sendrecv,tcp_untuned,64,,20000,15.36,16.41,17.76,53.55,
sendrecv,tcp_untuned,256,,20000,14.10,15.06,18.72,5202.23,
sendrecv,tcp_untuned,1024,,20000,14.97,15.75,19.09,348.00,
sendrecv,tcp_untuned,4096,,20000,18.18,43.29,50.52,702.90,
sendrecv,tcp_untuned,16384,,20000,26.05,27.71,32.00,109.86,
sendrecv,tcp_untuned,65536,,5000,69.56,73.95,104.31,180.78,
sendrecv,tcp_untuned,262144,,5000,189.36,200.03,251.72,326.99,
sendrecv,tcp_untuned,1048576,,5000,592.10,664.19,769.53,2844.89,
sendrecv,rdma,64,8,20000,1.70,1.78,3.08,19.64,
write_ack,rdma,64,1,20000,1.09,1.16,1.19,30.12,
sendrecv,rdma,256,8,20000,2.35,2.44,3.73,44.21,
write_ack,rdma,256,1,20000,1.42,1.48,1.51,32.71,
sendrecv,rdma,1024,8,20000,2.71,2.80,4.08,33.98,
write_ack,rdma,1024,1,20000,1.59,1.65,1.69,14.24,
sendrecv,rdma,4096,8,20000,3.48,3.58,7.24,29.14,
write_ack,rdma,4096,1,20000,1.99,2.07,2.12,20.02,
sendrecv,rdma,16384,8,20000,5.63,5.72,9.42,39.70,
write_ack,rdma,16384,1,20000,3.07,3.11,3.63,24.91,
sendrecv,rdma,65536,8,5000,16.72,16.94,23.86,35.94,
write_ack,rdma,65536,1,5000,8.51,8.66,9.29,31.83,
sendrecv,rdma,262144,8,5000,52.80,52.97,60.67,101.30,
write_ack,rdma,262144,1,5000,26.71,26.88,27.52,39.87,
sendrecv,rdma,1048576,8,5000,188.72,189.24,194.84,206.26,
write_ack,rdma,1048576,1,5000,94.50,94.88,101.54,107.74,
sendrecv,tcp,64,,20000,8.71,9.01,9.86,62.95,
sendrecv,tcp,256,,20000,8.68,9.08,11.57,27.41,
sendrecv,tcp,1024,,20000,9.57,10.03,10.54,25.41,
sendrecv,tcp,4096,,20000,12.62,14.34,16.84,33.90,
sendrecv,tcp,16384,,20000,19.43,21.55,25.76,45.80,
