bench,conn,count,bytes,world,iters,min_us,median_us,p99_us,max_us,busbw_gbps
allreduce,rdma,16384,65536,2,200,17.48,17.83,27.49,1603.14,29.406
allreduce,rdma,65536,262144,2,200,48.17,49.36,66.15,1901.47,42.483
allreduce,rdma,262144,1048576,2,200,164.25,180.26,198.27,199.15,46.536
allreduce,rdma,1048576,4194304,2,200,606.82,615.72,884.56,2518.29,54.496
allreduce,rdma,1572864,6291456,2,200,1025.27,1045.41,1377.33,1394.15,48.145
allreduce,rdma,2097152,8388608,2,200,1734.86,1758.84,2097.02,2212.80,38.155
allreduce,rdma,3145728,12582912,2,200,3163.22,3204.48,5036.74,5061.97,31.413
allreduce,rdma,4194304,16777216,2,200,4290.34,4485.15,4874.05,6197.50,29.925
allreduce,tcp,16384,65536,2,200,73.64,78.84,85.44,86.04,6.650
allreduce,tcp,65536,262144,2,200,195.09,198.67,209.14,272.65,10.556
allreduce,tcp,262144,1048576,2,200,823.80,837.53,862.68,864.89,10.016
allreduce,tcp,1048576,4194304,2,200,2497.81,2607.16,6230.33,10866.81,12.870
allreduce,tcp,1572864,6291456,2,200,4125.23,4280.40,4587.58,4670.17,11.759
allreduce,tcp,2097152,8388608,2,200,7516.97,7806.02,8405.23,9697.56,8.597
allreduce,tcp,3145728,12582912,2,200,7985.54,8154.93,9848.81,10123.49,12.344
allreduce,tcp,4194304,16777216,2,200,12248.36,12413.89,13449.41,13643.27,10.812
allreduce,tcp_untuned,16384,65536,2,200,103.40,108.81,126.48,127.38,4.819
allreduce,tcp_untuned,65536,262144,2,200,214.84,245.82,393.18,397.53,8.531
allreduce,tcp_untuned,262144,1048576,2,200,915.07,1092.36,1129.88,1132.61,7.679
allreduce,tcp_untuned,1048576,4194304,2,200,2515.61,2669.74,3450.22,3499.58,12.568
allreduce,tcp_untuned,1572864,6291456,2,200,4971.15,5086.29,5517.76,5577.71,9.896
allreduce,tcp_untuned,2097152,8388608,2,200,6433.97,6858.73,12023.00,18700.20,9.784
allreduce,tcp_untuned,3145728,12582912,2,200,10858.69,11322.19,18514.89,28904.91,8.891
allreduce,tcp_untuned,4194304,16777216,2,200,10418.66,11054.26,13597.69,14135.67,12.142
allreduce,rdma,16384,65536,2,200,16.96,17.30,21.02,32.98,30.297
allreduce,rdma,65536,262144,2,200,48.11,49.14,66.29,72.06,42.680
allreduce,rdma,262144,1048576,2,200,160.38,168.12,208.18,210.45,49.897
allreduce,rdma,1048576,4194304,2,200,608.26,616.93,746.70,751.16,54.390
allreduce,rdma,1572864,6291456,2,200,1034.53,1048.62,2899.41,3148.49,47.998
allreduce,rdma,2097152,8388608,2,200,1736.22,1776.83,2445.04,3741.06,37.769
allreduce,rdma,3145728,12582912,2,200,3161.38,3203.01,5074.85,5651.56,31.428
allreduce,rdma,4194304,16777216,2,200,4256.18,4480.12,4962.41,6178.40,29.959
allreduce,tcp,16384,65536,2,200,74.79,78.83,86.90,97.91,6.651
allreduce,tcp,65536,262144,2,200,191.61,199.89,215.06,215.92,10.491
allreduce,tcp,262144,1048576,2,200,529.70,539.31,555.93,557.04,15.554
allreduce,tcp,1048576,4194304,2,200,2391.92,2432.71,2529.31,2833.62,13.793
allreduce,tcp,1572864,6291456,2,200,4659.58,4716.27,4989.40,5020.77,10.672
allreduce,tcp,2097152,8388608,2,200,7685.58,8074.54,8387.50,9459.18,8.311
allreduce,tcp,3145728,12582912,2,200,9374.92,9462.83,10165.27,11670.67,10.638
allreduce,tcp,4194304,16777216,2,200,10290.02,10404.78,12583.51,12654.57,12.900
allreduce,tcp_untuned,16384,65536,2,200,84.57,89.45,95.26,96.06,5.862
allreduce,tcp_untuned,65536,262144,2,200,191.62,208.21,278.71,279.00,10.072
allreduce,tcp_untuned,262144,1048576,2,200,647.90,744.57,862.03,867.66,11.266
allreduce,tcp_untuned,1048576,4194304,2,200,2567.69,2807.84,4537.99,4960.01,11.950
allreduce,tcp_untuned,1572864,6291456,2,200,4141.62,4349.03,4640.88,4709.71,11.573
allreduce,tcp_untuned,2097152,8388608,2,200,5377.99,5788.32,6749.50,6832.18,11.594
allreduce,tcp_untuned,3145728,12582912,2,200,11493.47,12267.02,13182.63,13380.01,8.206
allreduce,tcp_untuned,4194304,16777216,2,200,11578.48,13262.16,14551.33,14632.98,10.120
allreduce,rdma,16384,65536,2,200,16.90,17.39,34.50,38.34,30.154
allreduce,rdma,65536,262144,2,200,48.19,49.22,71.29,73.89,42.608
allreduce,rdma,262144,1048576,2,200,159.98,167.65,191.73,193.94,50.038
allreduce,rdma,1048576,4194304,2,200,606.75,615.05,654.96,656.44,54.556
allreduce,rdma,1572864,6291456,2,200,1031.05,1044.42,1093.83,1098.87,48.191
allreduce,rdma,2097152,8388608,2,200,1733.68,1851.85,3839.57,3854.08,36.239
allreduce,rdma,3145728,12582912,2,200,3074.99,3206.24,3640.12,5073.93,31.396
allreduce,rdma,4194304,16777216,2,200,4413.80,4483.62,4865.92,6205.32,29.935
allreduce,tcp,16384,65536,2,200,76.95,83.04,90.21,91.54,6.313
allreduce,tcp,65536,262144,2,200,196.14,201.85,226.23,238.52,10.390
allreduce,tcp,262144,1048576,2,200,827.47,840.02,866.75,868.20,9.986
allreduce,tcp,1048576,4194304,2,200,2836.62,2906.65,2995.01,2999.46,11.544
allreduce,tcp,1572864,6291456,2,200,5772.25,6071.69,6235.38,6248.06,8.290
allreduce,tcp,2097152,8388608,2,200,5439.47,5614.73,13357.25,17662.70,11.952
allreduce,tcp,3145728,12582912,2,200,7878.74,8041.30,9512.08,10404.11,12.518
allreduce,tcp,4194304,16777216,2,200,14808.59,15171.71,16869.78,17829.10,8.847
allreduce,tcp_untuned,16384,65536,2,200,91.94,96.51,115.17,117.31,5.432
allreduce,tcp_untuned,65536,262144,2,200,189.59,215.29,308.28,331.00,9.741
allreduce,tcp_untuned,262144,1048576,2,200,631.32,752.82,881.09,1039.32,11.143
allreduce,tcp_untuned,1048576,4194304,2,200,2945.59,3341.33,3927.68,6154.80,10.042
allreduce,tcp_untuned,1572864,6291456,2,200,5867.06,6051.46,6532.22,6578.54,8.317
allreduce,tcp_untuned,2097152,8388608,2,200,8434.72,9088.61,9542.60,9902.32,7.384
allreduce,tcp_untuned,3145728,12582912,2,200,8134.53,8589.57,9266.67,9347.55,11.719
allreduce,tcp_untuned,4194304,16777216,2,200,10403.74,11188.40,12288.41,26769.51,11.996
allreduce,rdma,16384,65536,2,200,16.79,17.31,30.26,31.91,30.292
allreduce,rdma,65536,262144,2,200,48.12,49.02,67.93,70.30,42.780
allreduce,rdma,262144,1048576,2,200,158.67,170.57,193.06,1986.91,49.179
allreduce,rdma,1048576,4194304,2,200,610.24,615.97,769.62,771.51,54.474
allreduce,rdma,1572864,6291456,2,200,1030.14,1047.18,3122.43,3142.48,48.064
